,address,map_section,map_parcel,parcel_full,PWD_review,DOR_review,address_licdata,unit_type,unit_num,zip,opa_accoun,opa_owner,licensenum,licensetyp,initialiss,mostrecent,expiration,inactiveda,licensesta,legalfirst,legallastn,legalname,legalentit,business_n,business_m,geocode_x,geocode_y,geometry
492433,3737 D ST,106N130031,106N13,0031,,,3737 D ST,,,19124-4200,885109700,BOBOTE MYRIEM,630266,Auto Wrecking / Junk Yard,2014-05-27,2015-05-02,2015-12-31,2016-02-29,Inactive,,,KAARS OF PHILA INC,Company,KAARS OF PHILA INC,"3737 D STREET PHILADELPHIA, PA  19124 USA",2705505.0578203,256575.4024205,"POLYGON ((2705989.2791897985 256778.57214994924, 2706186.431722276 256755.50756426383, 2706505.960675157 256712.52963186457, 2706508.6578487996 256712.1670997794, 2706509.0285830433 256712.12740170298, 2706527.721790878 256710.12051604624, 2706542.678784967 256708.51454821692, 2706571.1396917757 256705.4591082839, 2706597.7308512907 256702.60412727614, 2706602.256761753 256702.404652699, 2706602.2374048317 256702.24257948346, 2706599.6025677575 256676.84301887176, 2706593.9247564585 256677.25837229152, 2706497.0919254557 256686.4686549651, 2706225.511705331 256719.57619958025, 2706162.2841287814 256726.04829908116, 2706078.395172065 256736.62406518648, 2706065.949000225 256738.2457810864, 2706004.7128901584 256736.25431320033, 2705982.599413018 256734.08502516657, 2705971.854353721 256731.7736773433, 2705924.15660538 256718.03551185023, 2705921.223539576 256726.4114809353, 2705898.7724647145 256721.04370782714, 2705887.1245198823 256718.25860754118, 2705744.288820182 256684.10774662596, 2705720.8256080938 256676.64417676037, 2705703.657660191 256671.06675850847, 2705694.032677613 256667.93979539143, 2705661.638379321 256657.01855434861, 2705632.7122506513 256645.38602856544, 2705619.101382953 256639.91261289024, 2705614.7824931266 256638.17573924782, 2705595.6729477365 256630.49235366247, 2705584.55551381 256626.0215608554, 2705568.1273939847 256619.41461693583, 2705562.342628974 256564.75165749653, 2705560.1526728463 256544.06074986258, 2705558.1556292074 256544.33633987326, 2705416.772353289 256563.8464715012, 2705424.1565247956 256621.16657842547, 2705429.4304654007 256621.2623789368, 2705437.747379536 256621.41362559522, 2705448.333646497 256623.7636872489, 2705454.85955333 256625.21250373844, 2705461.167612785 256626.612763854, 2705464.2253500405 256627.29156847205, 2705473.174480857 256629.27876985952, 2705489.451354289 256633.52351327584, 2705498.3135429733 256636.65539766927, 2705501.9136020374 256638.17967322553, 2705511.699345454 256642.32336681237, 2705521.940468627 256646.65964536124, 2705523.1743902615 256647.1819541747, 2705530.082514207 256650.10648980012, 2705540.032627395 256655.10090364327, 2705544.1415438135 256657.45949528328, 2705549.360694439 256660.4542406758, 2705559.0585114374 256666.0185353861, 2705565.924640694 256669.95881718423, 2705567.49583207 256670.83119097314, 2705608.5183953107 256693.61756834507, 2705645.1285653263 256702.59196262504, 2705677.007444682 256710.40658193047, 2705717.634667767 256720.36555459036, 2705728.576577107 256723.047636671, 2705818.866440051 256745.44720504855, 2705818.900560733 256745.45606329496, 2705825.7886716234 256747.24378992413, 2705825.8136059656 256747.24969544183, 2705836.434649754 256750.0055962551, 2705851.459556935 256754.21359434223, 2705863.7305321014 256758.60236629553, 2705866.579936371 256759.76640623534, 2705877.0024896394 256764.0246009469, 2705878.9486803375 256764.8198751817, 2705884.973603787 256767.2818131663, 2705890.9667031574 256770.26966883693, 2705896.567742845 256773.73062072418, 2705897.9374910137 256774.57740402909, 2705902.2304621832 256777.23159885505, 2705928.429562048 256774.65975378422, 2705943.2277637906 256772.09971943754, 2705959.159165462 256774.58921669086, 2705989.2791897985 256778.57214994924))"
58464,3737 D ST,106N140060,106N14,0060,,,3737 D ST,,,19124-4200,885109700,BOBOTE MYRIEM,436566,Auto Wrecking / Junk Yard,2008-03-31,2014-02-05,2014-12-31,2015-03-01,Inactive,ANDRE,JOHNSON,JOHNSON ANDRE,Individual,SALVAGE ONE AUTO RECYCLER,"1236 S. MILLICK PHILADELPHIA, PA  19143 USA",2705505.0578203,256575.4024205,"POLYGON ((2705979.02461499 256783.3267342841, 2706186.431722276 256755.50756426383, 2706505.960675157 256712.52963186457, 2706508.6578487996 256712.1670997794, 2706509.0285830433 256712.12740170298, 2706527.721790878 256710.12051604624, 2706542.678784967 256708.51454821692, 2706571.1396917757 256705.4591082839, 2706597.7308512907 256702.60412727614, 2706602.256761753 256702.404652699, 2706602.2374048317 256702.24257948346, 2706598.290234377 256669.32859666532, 2706597.1048693093 256659.44574041938, 2706594.024822365 256659.46444112572, 2706568.536351174 256661.22296743188, 2706568.526836772 256661.22362360358, 2706550.271948362 256662.78694051167, 2706550.2076440146 256662.7928460108, 2706538.4117334792 256663.91849982736, 2706529.1305822097 256665.1002559859, 2706517.3976636436 256667.24067175234, 2706504.839615376 256669.53167780567, 2706500.7628510296 256670.20851374127, 2706495.6355636455 256671.05989002998, 2706220.035665525 256711.6775915796, 2706157.056119983 256720.69758678201, 2706073.665521914 256732.64113258792, 2706065.9316119254 256733.74808575388, 2706033.5884943916 256732.63489794114, 2706004.385463058 256731.62964962414, 2705986.6794582377 256731.02007018807, 2705982.7657513833 256730.40032056632, 2705974.9826289783 256729.16836717006, 2705943.965624674 256722.37441531374, 2705924.15660538 256718.03551185023, 2705921.223539576 256726.4114809353, 2705898.7724647145 256721.04370782714, 2705887.1245198823 256718.25860754118, 2705744.288820182 256684.10774662596, 2705720.8256080938 256676.64417676037, 2705703.657660191 256671.06675850847, 2705694.032677613 256667.93979539143, 2705661.638379321 256657.01855434861, 2705632.7122506513 256645.38602856544, 2705619.101382953 256639.91261289024, 2705614.7824931266 256638.17573924782, 2705595.6729477365 256630.49235366247, 2705584.55551381 256626.0215608554, 2705568.1273939847 256619.41461693583, 2705562.342628974 256564.75165749653, 2705560.1526728463 256544.06074986258, 2705558.1556292074 256544.33633987326, 2705416.772353289 256563.8464715012, 2705424.1565247956 256621.16657842547, 2705429.4304654007 256621.2623789368, 2705437.747379536 256621.41362559522, 2705448.333646497 256623.7636872489, 2705454.85955333 256625.21250373844, 2705461.167612785 256626.612763854, 2705464.2253500405 256627.29156847205, 2705473.174480857 256629.27876985952, 2705489.451354289 256633.52351327584, 2705498.3135429733 256636.65539766927, 2705501.9136020374 256638.17967322553, 2705511.699345454 256642.32336681237, 2705521.940468627 256646.65964536124, 2705523.1743902615 256647.1819541747, 2705530.082514207 256650.10648980012, 2705540.032627395 256655.10090364327, 2705544.1415438135 256657.45949528328, 2705549.360694439 256660.4542406758, 2705559.0585114374 256666.0185353861, 2705565.924640694 256669.95881718423, 2705567.49583207 256670.83119097314, 2705608.5183953107 256693.61756834507, 2705645.1285653263 256702.59196262504, 2705677.007444682 256710.40658193047, 2705717.634667767 256720.36555459036, 2705728.576577107 256723.047636671, 2705818.866440051 256745.44720504855, 2705818.900560733 256745.45606329496, 2705825.7886716234 256747.24378992413, 2705825.8136059656 256747.24969544183, 2705836.434649754 256750.0055962551, 2705851.459556935 256754.21359434223, 2705863.7305321014 256758.60236629553, 2705866.579936371 256759.76640623534, 2705877.0024896394 256764.0246009469, 2705878.9486803375 256764.8198751817, 2705884.973603787 256767.2818131663, 2705890.9667031574 256770.26966883693, 2705896.567742845 256773.73062072418, 2705897.9374910137 256774.57740402909, 2705902.2304621832 256777.23159885505, 2705928.429562048 256774.65975378422, 2705959.2136271694 256779.93303908684, 2705979.02461499 256783.3267342841))"
492433,3737 D ST,106N130031,106N13,0031,,,3737 D ST,,,19124-4200,885109700,BOBOTE MYRIEM,436566,Auto Wrecking / Junk Yard,2008-03-31,2014-02-05,2014-12-31,2015-03-01,Inactive,ANDRE,JOHNSON,JOHNSON ANDRE,Individual,SALVAGE ONE AUTO RECYCLER,"1236 S. MILLICK PHILADELPHIA, PA  19143 USA",2705505.0578203,256575.4024205,"POLYGON ((2705989.2791897985 256778.57214994924, 2706186.431722276 256755.50756426383, 2706505.960675157 256712.52963186457, 2706508.6578487996 256712.1670997794, 2706509.0285830433 256712.12740170298, 2706527.721790878 256710.12051604624, 2706542.678784967 256708.51454821692, 2706571.1396917757 256705.4591082839, 2706597.7308512907 256702.60412727614, 2706602.256761753 256702.404652699, 2706602.2374048317 256702.24257948346, 2706599.6025677575 256676.84301887176, 2706593.9247564585 256677.25837229152, 2706497.0919254557 256686.4686549651, 2706225.511705331 256719.57619958025, 2706162.2841287814 256726.04829908116, 2706078.395172065 256736.62406518648, 2706065.949000225 256738.2457810864, 2706004.7128901584 256736.25431320033, 2705982.599413018 256734.08502516657, 2705971.854353721 256731.7736773433, 2705924.15660538 256718.03551185023, 2705921.223539576 256726.4114809353, 2705898.7724647145 256721.04370782714, 2705887.1245198823 256718.25860754118, 2705744.288820182 256684.10774662596, 2705720.8256080938 256676.64417676037, 2705703.657660191 256671.06675850847, 2705694.032677613 256667.93979539143, 2705661.638379321 256657.01855434861, 2705632.7122506513 256645.38602856544, 2705619.101382953 256639.91261289024, 2705614.7824931266 256638.17573924782, 2705595.6729477365 256630.49235366247, 2705584.55551381 256626.0215608554, 2705568.1273939847 256619.41461693583, 2705562.342628974 256564.75165749653, 2705560.1526728463 256544.06074986258, 2705558.1556292074 256544.33633987326, 2705416.772353289 256563.8464715012, 2705424.1565247956 256621.16657842547, 2705429.4304654007 256621.2623789368, 2705437.747379536 256621.41362559522, 2705448.333646497 256623.7636872489, 2705454.85955333 256625.21250373844, 2705461.167612785 256626.612763854, 2705464.2253500405 256627.29156847205, 2705473.174480857 256629.27876985952, 2705489.451354289 256633.52351327584, 2705498.3135429733 256636.65539766927, 2705501.9136020374 256638.17967322553, 2705511.699345454 256642.32336681237, 2705521.940468627 256646.65964536124, 2705523.1743902615 256647.1819541747, 2705530.082514207 256650.10648980012, 2705540.032627395 256655.10090364327, 2705544.1415438135 256657.45949528328, 2705549.360694439 256660.4542406758, 2705559.0585114374 256666.0185353861, 2705565.924640694 256669.95881718423, 2705567.49583207 256670.83119097314, 2705608.5183953107 256693.61756834507, 2705645.1285653263 256702.59196262504, 2705677.007444682 256710.40658193047, 2705717.634667767 256720.36555459036, 2705728.576577107 256723.047636671, 2705818.866440051 256745.44720504855, 2705818.900560733 256745.45606329496, 2705825.7886716234 256747.24378992413, 2705825.8136059656 256747.24969544183, 2705836.434649754 256750.0055962551, 2705851.459556935 256754.21359434223, 2705863.7305321014 256758.60236629553, 2705866.579936371 256759.76640623534, 2705877.0024896394 256764.0246009469, 2705878.9486803375 256764.8198751817, 2705884.973603787 256767.2818131663, 2705890.9667031574 256770.26966883693, 2705896.567742845 256773.73062072418, 2705897.9374910137 256774.57740402909, 2705902.2304621832 256777.23159885505, 2705928.429562048 256774.65975378422, 2705943.2277637906 256772.09971943754, 2705959.159165462 256774.58921669086, 2705989.2791897985 256778.57214994924))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,854534,Hazardous Materials,2020-10-29,2022-12-01,2023-10-28,,Active,JOSE RAFAEL,MATOS-VELEZ,MATOS-VELEZ JOSE RAFAEL,Individual,M & P USED AUTO PARTS LLC,"M&P USED AUTO PARTS LLC 800 W SEDGLEY AVE PHILADELPHIA, PA  19124 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,854535,Motor Vehicle Repair / Retail Mobile Dispensing,2020-10-29,2022-10-27,2023-10-28,,Active,JOSE RAFAEL,MATOS-VELEZ,MATOS-VELEZ JOSE RAFAEL,Individual,M & P USED AUTO PARTS LLC,"M&P USED AUTO PARTS LLC 800 W SEDGLEY AVE PHILADELPHIA, PA  19124 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,310039,Dumpster License - Public ROW,2005-03-19,2013-05-11,2014-03-31,,Inactive,PATRICIA,PLUMMER,PLUMMER PATRICIA,Individual,PLUMMER PATRICIA,"3032 LONGSHORE AVE PHILADELPHIA, PA  19149 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,400148,Motor Vehicle Repair / Retail Mobile Dispensing,2007-02-16,2007-02-16,2007-12-31,2012-07-24,Inactive,FELIX,MOREL,MOREL FELIX,Individual,MOREL MECHANIC & AUTOBODY,"1901 WATERLOO STREET PHILADELPHIA, PA  19122 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,479048,Motor Vehicle Repair / Retail Mobile Dispensing,2009-07-16,2010-08-09,2010-12-31,2012-07-24,Closed,AMBROSIO,SUERO,SUERO AMBROSIO,Individual,SUERO AMBROSIO,"1316 VAN KIRK ST PHILADELPHIA, PA  19146 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,400149,Dumpster License - Private Property,2007-02-16,2007-02-16,2010-07-31,,Inactive,FELIX,MOREL,MOREL FELIX,Individual,MOREL FELIX,"1901 WATERLOO STREET PHILADELPHIA, PA  19122 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,593801,Motor Vehicle Repair / Retail Mobile Dispensing,2013-05-15,2013-05-15,2013-12-31,,Inactive,ANGULO,LEONARDO,LEONARDO ANGULO,Individual,DE ZOKY AUTO BODY,"850 WEST SEDGLEY AVENUE PHILADELPHIA, PA  19140 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,910589,Amusement,2022-11-14,2022-11-14,2023-11-13,,Active,ERNIE,PASTRANA,PASTRANA ERNIE,Individual,SOCIAL CLUB @ 850 SEDGLEY AVE,"SOCIAL CLUB  850 w SEDGLEY AVE PHILADELPHIA, PA  19134 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,911173,Auto Wrecking / Junk Yard,2022-11-22,2022-11-22,2023-11-21,,Active,JOSE RAFAEL,MATOS-VELEZ,MATOS-VELEZ JOSE RAFAEL,Individual,MATOS-VELEZ JOSE RAFAEL,"M&P USED AUTO PARTS LLC 800 W SEDGLEY AVE PHILADELPHIA, PA  19124 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,321046,Dumpster License - Private Property,2005-06-03,2005-06-03,2105-06-30,2005-10-28,Inactive,ERNESTO,MORENO,MORENO ERNESTO,Individual,MORENO ERNESTO,"800 W SEDGELY STREET PHILADELPHIA, PA  19134 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,387757,Scales and Scanners,2006-10-13,2006-10-13,2007-09-30,2010-09-13,Inactive,,,SERVICIOUS AND DIST MEAT AND FOOD MARKET,Company,SERVICIOUS AND DIST MEAT AND FOOD MARKET,"850 W SEDGLEY AVE PHILADELPHIA, PA  19140 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,318212,Motor Vehicle Repair / Retail Mobile Dispensing,2005-05-13,2005-05-13,2005-12-31,2005-10-28,Inactive,ERNESTO,MORENO,MORENO ERNESTO,Individual,MORENO ERNESTO,"800 W SEDGELY STREET PHILADELPHIA, PA  19134 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,640991,Motor Vehicle Repair / Retail Mobile Dispensing,2014-09-09,2014-09-09,2014-12-31,2015-03-01,Inactive,,,J & S AUTOBODY AND AUTO REPAIR LLC,Company,J & S AUTOBODY AND AUTO REPAIR LLC,"850 W. SEDGLEY AVENUE PHILADELPHIA, PA  19140 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,417351,Food Manufacturer / Wholesaler,2007-07-17,2014-07-30,2015-04-30,2015-06-29,Inactive,,,SERVICIOS Y DISTRIBUCION MEAT & FOOD MARKET INC,Company,SERVICIOS Y DISTRIBUCION MEAT & FOOD MARKET INC,"850 W SEDGLEY AVE PHILADELPHIA, PA  19140 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,412649,Scales and Scanners,2007-06-08,2015-10-02,2016-09-30,2016-11-29,Inactive,,,SERVICIOS Y DISTRIBUCION MEAT & FOOD MARKET INC,Company,SERVICIOS Y DISTRIBUCION MEAT & FOOD MARKET INC,"850 W SEDGLEY AVE PHILADELPHIA, PA  19140 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
64987,800 W SEDGLEY AVE,041N160021,041N16,0021,,,800 W SEDGLEY AVE,,,19140-5500,882019420,GONZALEZ TOBIAS A,806203,Food Manufacturer / Wholesaler,2019-03-19,2019-03-19,2020-03-18,2020-05-17,Inactive,,,ALMANZAR MINIMARKET GROCERY STORE INC,Company,@ 850 W SEDGLEY AVE,"500 E WESTMORELAND STREET PHILADELPHIA, PA  19134 USA",2698632.4135909,254425.255968,"POLYGON ((2698810.5451413565 254470.27690290433, 2698531.9813434 254302.93598950835, 2698480.2868804475 254388.74324829126, 2698471.658286703 254403.06605687767, 2698472.452248284 254411.485989246, 2698752.750951697 254562.58939908983, 2698755.3752907687 254564.00409479777, 2698810.5451413565 254470.27690290433))"
69903,3763 SEPVIVA ST,077N130038,077N13,0038,,,3711 SEPVIVA ST,,,19137-1017,884201375,J M AUTO SPOT INC,654317,Hazardous Materials,2015-12-10,2015-12-10,2016-12-31,2017-03-01,Inactive,JOHN,MEO,MEO JOHN,Individual,MEO JOHN,"1141 FOULKRID ST PHILADELPHIA, PA  19124 USA",2712007.0349135,253174.6187711,"POLYGON ((2712233.716853845 253132.33807195103, 2712242.6640165853 253117.9460377273, 2712245.9697850323 253112.59696610147, 2712248.8510136227 253106.60911608255, 2712241.7880340987 253110.36107763764, 2712232.744087071 253113.08416957135, 2712225.427827233 253114.94899543864, 2712218.3897821587 253116.41519996113, 2712210.178838915 253117.88107634432, 2712203.1230773404 253118.66486739946, 2712196.982996509 253119.34695262066, 2712183.1998848272 253119.93422155327, 2712175.517812063 253119.57398576025, 2712164.433842567 253119.05397329928, 2712158.862002231 253118.46801618047, 2712148.3049347037 253116.70817652723, 2712133.9358661855 253113.48213209127, 2712127.7780689187 253111.7229487399, 2712116.635044494 253107.91094745, 2712103.144911481 253102.04612824944, 2712098.453975129 253099.70000375164, 2712085.84474606 253092.66294259237, 2712077.4159556376 253087.18394961776, 2712071.1830273494 253082.39918116463, 2711956.524771666 252998.2379123333, 2711925.0399208693 252975.9351301674, 2711920.663944335 252982.15920020404, 2711913.8847567933 252992.18214781248, 2711890.9970018947 253024.4340576275, 2711870.3950041533 253052.61314016633, 2711858.0840022694 253069.45300451276, 2711851.7467430965 253078.2459675328, 2711783.080853785 253173.54106962937, 2711819.8737657876 253199.10893793614, 2711972.9459936433 253305.55724109508, 2712083.09999258 253381.87108299593, 2712086.8919806303 253376.38323210014, 2712095.7820568695 253361.6280095545, 2712147.132032279 253275.35224768278, 2712214.2598670474 253164.6700341743, 2712229.1158120567 253139.79507939302, 2712233.716853845 253132.33807195103))"
69903,3763 SEPVIVA ST,077N130038,077N13,0038,,,3711 SEPVIVA ST,,,19137-1017,884201375,J M AUTO SPOT INC,614400,Motor Vehicle Repair / Retail Mobile Dispensing,2014-01-07,2021-01-25,2021-12-31,,Closed,JOSE,SANTOS,SANTOS JOSE,Individual,JS AUTO REPAIR,"643 CLEARFIELD ST PHILADELPHIA, PA  19134 USA",2712007.0349135,253174.6187711,"POLYGON ((2712233.716853845 253132.33807195103, 2712242.6640165853 253117.9460377273, 2712245.9697850323 253112.59696610147, 2712248.8510136227 253106.60911608255, 2712241.7880340987 253110.36107763764, 2712232.744087071 253113.08416957135, 2712225.427827233 253114.94899543864, 2712218.3897821587 253116.41519996113, 2712210.178838915 253117.88107634432, 2712203.1230773404 253118.66486739946, 2712196.982996509 253119.34695262066, 2712183.1998848272 253119.93422155327, 2712175.517812063 253119.57398576025, 2712164.433842567 253119.05397329928, 2712158.862002231 253118.46801618047, 2712148.3049347037 253116.70817652723, 2712133.9358661855 253113.48213209127, 2712127.7780689187 253111.7229487399, 2712116.635044494 253107.91094745, 2712103.144911481 253102.04612824944, 2712098.453975129 253099.70000375164, 2712085.84474606 253092.66294259237, 2712077.4159556376 253087.18394961776, 2712071.1830273494 253082.39918116463, 2711956.524771666 252998.2379123333, 2711925.0399208693 252975.9351301674, 2711920.663944335 252982.15920020404, 2711913.8847567933 252992.18214781248, 2711890.9970018947 253024.4340576275, 2711870.3950041533 253052.61314016633, 2711858.0840022694 253069.45300451276, 2711851.7467430965 253078.2459675328, 2711783.080853785 253173.54106962937, 2711819.8737657876 253199.10893793614, 2711972.9459936433 253305.55724109508, 2712083.09999258 253381.87108299593, 2712086.8919806303 253376.38323210014, 2712095.7820568695 253361.6280095545, 2712147.132032279 253275.35224768278, 2712214.2598670474 253164.6700341743, 2712229.1158120567 253139.79507939302, 2712233.716853845 253132.33807195103))"
